Age,Life_expectancy_atAge
0,62.9
1,63.7
2,63
3,62.2
4,61.3
5,60.4
6,59.4
7,58.5
8,57.5
9,56.6
10,55.6
11,54.7
12,53.7
13,52.7
14,51.8
15,50.8
16,49.9
17,48.9
18,48
19,47.1
20,46.2
21,45.3
22,44.4
23,43.5
24,42.6
25,41.7
26,40.8
27,39.9
28,39.1
29,38.2
30,37.4
31,36.5
32,35.7
33,34.8
34,34
35,33.2
36,32.4
37,31.6
38,30.8
39,30
40,29.2
41,28.4
42,27.7
43,26.9
44,26.2
45,25.5
46,24.7
47,24
48,23.3
49,22.6
50,21.9
51,21.2
52,20.6
53,19.9
54,19.2
55,18.6
56,17.9
57,17.3
58,16.7
59,16
60,15.4
61,14.8
62,14.3
63,13.7
64,13.2
65,12.7
66,12.2
67,11.7
68,11.2
69,10.7
70,10.3
71,9.8
72,9.4
73,9
74,8.6
75,8.2
76,7.8
77,7.4
78,7
79,6.6
80,6.2
81,5.9
82,5.5
83,5.2
84,4.9
85,4.6
86,4.4
87,4.2
88,4
89,3.8
90,3.6
91,3.5
92,3.3
93,3.1
94,3
95,2.9
96,2.7
97,2.6
98,2.5
99,2.4
100,2.3
